Rank,story_id,structure,temperature,genre,seed,equal_score,dimension_score,pca_score,distinct_avg,avg_semantic_continuity,pseudo_ppl,tp_completion_rate,is_baseline,Config
1,horror_nonlinear_T0.7_s2,nonlinear,0.7,horror,2,0.7935791967707022,0.7949818659101135,0.43977337938423844,0.6581303696303696,0.4018,2.06280966408656,1.0,0,non_T0.7
2,romantic_nonlinear_T0.9_s2,nonlinear,0.9,romantic,2,0.7339428012474508,0.7665852697235834,0.2368998628862787,0.6363408535908537,0.4318,2.1596792981124935,1.0,0,non_T0.9
3,horror_nonlinear_T0.9_s2,nonlinear,0.9,horror,2,0.7163020068469166,0.741371912387293,0.18935847761418464,0.6430720945720946,0.434,2.15822428020309,1.0,0,non_T0.9
4,romantic_nonlinear_T0.3_s2,nonlinear,0.3,romantic,2,0.7040323515018226,0.7254183648459953,0.29089021024277084,0.6389748712825636,0.4167,2.244212835287214,1.0,0,non_T0.3
5,sciencefiction_nonlinear_T0.7_s2,nonlinear,0.7,sciencefiction,2,0.6985141583289087,0.6893781366667111,0.6238361434359224,0.6733632367632368,0.3794,2.4722991539256904,1.0,0,non_T0.7
6,romantic_linear_T0.9_s3,linear,0.9,romantic,3,0.6964458269558694,0.6988746207906417,0.3920716258140067,0.6563743756243756,0.3986,2.235748801763281,1.0,0,lin_T0.9
7,horror_linear_T0.7_s2,linear,0.7,horror,2,0.6881021216793807,0.7151114002823378,0.33764305099378916,0.6357834665334665,0.404,2.134498811404967,1.0,0,lin_T0.7
8,romantic_linear_T0.9_s2,linear,0.9,romantic,2,0.6833889901491753,0.7219435700983996,0.12196517163718167,0.6178798487227058,0.4213,1.9366192110806888,1.0,0,lin_T0.9
9,romantic_nonlinear_T0.7_s3,nonlinear,0.7,romantic,3,0.6763071434621519,0.7097053896631036,0.11793943089781303,0.6341015708429503,0.4278,1.9666523362257775,1.0,0,non_T0.7
10,horror_nonlinear_T0.3_s3,nonlinear,0.3,horror,3,0.6696220033425863,0.6963073926002501,0.1133124688439493,0.6346927617836708,0.4276,2.0807592477878436,1.0,0,non_T0.3
11,romantic_nonlinear_T0.9_s3,nonlinear,0.9,romantic,3,0.669138523376751,0.7024730399657305,0.025615913486200275,0.6073103827990192,0.4191,1.9103913677954631,1.0,0,non_T0.9
12,romantic_nonlinear_T0.3_s1,nonlinear,0.3,romantic,1,0.6678967791563098,0.7137077312744419,0.08916284208551516,0.6173942557442558,0.4329,2.062261098662433,1.0,0,non_T0.3
13,horror_nonlinear_T0.3_s1,nonlinear,0.3,horror,1,0.666387099108629,0.7208556206646416,0.10052690602084488,0.6149819763569764,0.4404,2.179942056886072,1.0,0,non_T0.3
14,sciencefiction_nonlinear_T0.3_s1,nonlinear,0.3,sciencefiction,1,0.6655227315306975,0.6691205423845864,0.4246552776029333,0.6365771894771894,0.3831,2.3940484973262675,1.0,0,non_T0.3
15,sciencefiction_linear_T0.7_s1,linear,0.7,sciencefiction,1,0.6649576641857299,0.6304321623376682,0.5948027271814176,0.6661147314224236,0.352,2.4539224772288892,1.0,0,lin_T0.7
16,romantic_linear_T0.3_s2,linear,0.3,romantic,2,0.662191380074523,0.7076111403767119,0.01142243569734545,0.6143471265576529,0.4331,1.8575056594936108,1.0,0,lin_T0.3
17,horror_linear_T0.9_s2,linear,0.9,horror,2,0.6563545329172528,0.6823223847028141,0.16061818897005203,0.6298240687883545,0.4227,2.224323357863916,1.0,0,lin_T0.9
18,horror_linear_T0.7_s3,linear,0.7,horror,3,0.6554244386162186,0.69896861084502,0.0004971380965478234,0.6100341832080963,0.4291,1.8927958444639537,1.0,0,lin_T0.7
19,horror_linear_T0.9_s1,linear,0.9,horror,1,0.6550103438170288,0.7103347279969892,0.04385631318760767,0.6063644310235219,0.436,2.0515788879074717,1.0,0,lin_T0.9
20,sciencefiction_linear_T0.7_s2,linear,0.7,sciencefiction,2,0.6526491638560259,0.6357946642222526,0.6180614524087693,0.661714701964702,0.3714,2.759148154542961,1.0,0,lin_T0.7
21,sciencefiction_nonlinear_T0.3_s3,nonlinear,0.3,sciencefiction,3,0.6520167293047866,0.6449879112736784,0.5399800821979619,0.6539012237762237,0.3744,2.5424727312480746,1.0,0,non_T0.3
22,sciencefiction_linear_T0.3_s1,linear,0.3,sciencefiction,1,0.6516666268202008,0.6720604135889858,0.5503948364182922,0.6529705849705849,0.4047,2.814863811325673,1.0,0,lin_T0.3
23,romantic_nonlinear_T0.7_s1,nonlinear,0.7,romantic,1,0.649582019040662,0.6934287862179767,0.022079898764762875,0.6242636807636808,0.4371,1.956100138856733,1.0,0,non_T0.7
24,sciencefiction_linear_T0.9_s3,linear,0.9,sciencefiction,3,0.6477748110512683,0.6520037418050146,0.4335547500672907,0.6590618131868131,0.3968,2.5008221883856296,1.0,0,lin_T0.9
25,horror_nonlinear_T0.9_s1,nonlinear,0.9,horror,1,0.6461572574606206,0.6809485136246841,0.047698708089462964,0.6109877430262045,0.4157,1.897553356866042,1.0,0,non_T0.9
26,horror_linear_T0.3_s3,linear,0.3,horror,3,0.645507722062772,0.6955407820345484,0.022071754227315003,0.6120989879685532,0.4439,2.197009525031475,1.0,0,lin_T0.3
27,romantic_linear_T0.3_s1,linear,0.3,romantic,1,0.6437229111781588,0.6697917680427911,0.0650844863349389,0.6139569030969032,0.4086,1.9272096581743696,1.0,0,lin_T0.3
28,romantic_nonlinear_T0.7_s2,nonlinear,0.7,romantic,2,0.6250008983974806,0.6641164824602157,0.1069845317552111,0.6378182442557443,0.4386,2.211808195409589,1.0,0,non_T0.7
29,horror_nonlinear_T0.7_s3,nonlinear,0.7,horror,3,0.6228096296832276,0.679032394013358,0.16051367836508065,0.6129849674135389,0.4351,2.4094205744672843,1.0,0,non_T0.7
30,horror_linear_T0.3_s2,linear,0.3,horror,2,0.6212418761352849,0.674235324506292,0.11743913959458994,0.6241318681318683,0.44,2.2756293108098,1.0,0,lin_T0.3
31,sciencefiction_linear_T0.9_s1,linear,0.9,sciencefiction,1,0.6180322402363434,0.5380531648346825,1.0,0.6864564435564435,0.296,3.1093842329184818,1.0,0,lin_T0.9
32,sciencefiction_linear_T0.3_s2,linear,0.3,sciencefiction,2,0.6173412707308005,0.5930960261990971,0.6211965124601023,0.6626661338661339,0.3578,2.7244728907924203,1.0,0,lin_T0.3
33,horror_nonlinear_T0.7_s1,nonlinear,0.7,horror,1,0.614580665133758,0.6593657815980056,0.1393717862369859,0.6245953661722892,0.4289,2.2452703111043673,1.0,0,non_T0.7
34,horror_linear_T0.3_s1,linear,0.3,horror,1,0.6118409901072954,0.6436845872723936,0.05687237082370794,0.6097109002109002,0.4109,2.0348660062491097,1.0,0,lin_T0.3
35,romantic_linear_T0.3_s3,linear,0.3,romantic,3,0.6115462948484627,0.6501522616918314,0.030458648908035135,0.6181164549735978,0.4248,2.0541718873387356,1.0,0,lin_T0.3
36,romantic_nonlinear_T0.9_s1,nonlinear,0.9,romantic,1,0.610525013759131,0.6600754859335198,0.05153151326896527,0.6031665001665001,0.4237,2.0884557623682465,1.0,0,non_T0.9
37,romantic_linear_T0.9_s1,linear,0.9,romantic,1,0.6029582378771107,0.6383723563274062,0.11928188539988267,0.6278376623376624,0.4232,2.211984200817494,1.0,0,lin_T0.9
38,romantic_linear_T0.7_s3,linear,0.7,romantic,3,0.602183136163874,0.6266248041854587,0.0036555598260419393,0.6292159840159841,0.4289,2.1742286607955355,1.0,0,lin_T0.7
39,horror_nonlinear_T0.9_s3,nonlinear,0.9,horror,3,0.5977617946046081,0.6593458615907579,0.06552246074045832,0.6172654845154845,0.436,2.116006355805206,1.0,0,non_T0.9
40,horror_nonlinear_T0.3_s2,nonlinear,0.3,horror,2,0.5971918433199975,0.618313385683623,0.049652306826424276,0.6323229847076002,0.4186,2.1207308543665087,1.0,0,non_T0.3
41,sciencefiction_nonlinear_T0.7_s3,nonlinear,0.7,sciencefiction,3,0.5934336778413265,0.5822602402243082,0.6160715536159769,0.6647125097125097,0.3714,2.900782123089293,1.0,0,non_T0.7
42,romantic_nonlinear_T0.3_s3,nonlinear,0.3,romantic,3,0.5899989870223193,0.6420503346725452,0.04670944305604914,0.6150223318348318,0.43,2.1380470948869497,1.0,0,non_T0.3
43,sciencefiction_linear_T0.7_s3,linear,0.7,sciencefiction,3,0.5874050118280882,0.5784895926670106,0.720595357903758,0.6821974900099901,0.378,2.8527149767266904,1.0,0,lin_T0.7
44,horror_linear_T0.9_s3,linear,0.9,horror,3,0.5839722670122891,0.6272982146549027,0.0,0.6167943979097826,0.4252,2.0242798851781707,1.0,0,lin_T0.9
45,romantic_linear_T0.7_s2,linear,0.7,romantic,2,0.5831281459617733,0.6240676005519734,0.10132105604452661,0.610812581358036,0.4201,2.3411144402544335,1.0,0,lin_T0.7
46,sciencefiction_nonlinear_T0.9_s1,nonlinear,0.9,sciencefiction,1,0.5787145571526183,0.5817157884960357,0.5161239462492665,0.6421550949050949,0.3715,2.623734094690963,1.0,0,non_T0.9
47,sciencefiction_nonlinear_T0.9_s2,nonlinear,0.9,sciencefiction,2,0.5653407821902376,0.5531299144934931,0.4841130222721313,0.6563775866990152,0.3705,2.6999703977423084,1.0,0,non_T0.9
48,sciencefiction_nonlinear_T0.7_s1,nonlinear,0.7,sciencefiction,1,0.5607575478834794,0.5425006710415499,0.4315069470115217,0.6428270063270063,0.3465,2.1932124682356693,1.0,0,non_T0.7
49,horror_linear_T0.7_s1,linear,0.7,horror,1,0.5517664077534473,0.6036011475330715,0.10628239705572175,0.6200582584082583,0.4297,2.380714341230337,1.0,0,lin_T0.7
50,sciencefiction_nonlinear_T0.9_s3,nonlinear,0.9,sciencefiction,3,0.5364371113862753,0.5111650973263677,0.5616073210824157,0.6508979353979354,0.3413,2.660314243520548,1.0,0,non_T0.9
51,romantic_linear_T0.7_s1,linear,0.7,romantic,1,0.5339347159190674,0.5622969303791772,0.0903384502364638,0.6236970075379167,0.4162,2.4790591604833243,1.0,0,lin_T0.7
52,sciencefiction_linear_T0.9_s2,linear,0.9,sciencefiction,2,0.5115525661469235,0.4806230043366182,0.7057235212214541,0.6595188739831598,0.3359,2.9910890462531725,1.0,0,lin_T0.9
53,sciencefiction_linear_T0.3_s3,linear,0.3,sciencefiction,3,0.5037239937575377,0.4625584490080494,0.6507233149776003,0.6892546203796204,0.3349,2.322077608915349,1.0,0,lin_T0.3
54,sciencefiction_nonlinear_T0.3_s2,nonlinear,0.3,sciencefiction,2,0.471914059043185,0.46957189927203563,0.5757069002381492,0.6581517328825021,0.3576,2.8747416972969475,1.0,0,non_T0.3
