rater_id,winner_story_id,loser_story_id,winner_config,loser_config
P001,linear_T0.3_s1,baseline,linear_T0.3,baseline
P001,linear_T0.3_s2,baseline,linear_T0.3,baseline
P001,linear_T0.3_s3,baseline,linear_T0.3,baseline
P001,linear_T0.3_s2,linear_T0.3_s1,linear_T0.3,linear_T0.3
P001,linear_T0.3_s3,linear_T0.3_s1,linear_T0.3,linear_T0.3
P001,linear_T0.3_s3,linear_T0.3_s2,linear_T0.3,linear_T0.3
P002,baseline,linear_T0.3_s1,baseline,linear_T0.3
P002,linear_T0.9_s3,baseline,linear_T0.9,baseline
P002,nonlinear_T0.7_s2,baseline,nonlinear_T0.7,baseline
P002,linear_T0.9_s3,linear_T0.3_s1,linear_T0.9,linear_T0.3
P002,nonlinear_T0.7_s2,linear_T0.3_s1,nonlinear_T0.7,linear_T0.3
P002,linear_T0.9_s3,nonlinear_T0.7_s2,linear_T0.9,nonlinear_T0.7
P003,baseline,linear_T0.3_s1,baseline,linear_T0.3
P003,baseline,linear_T0.3_s2,baseline,linear_T0.3
P003,linear_T0.3_s3,baseline,linear_T0.3,baseline
P003,linear_T0.3_s2,linear_T0.3_s1,linear_T0.3,linear_T0.3
P003,linear_T0.3_s3,linear_T0.3_s1,linear_T0.3,linear_T0.3
P003,linear_T0.3_s3,linear_T0.3_s2,linear_T0.3,linear_T0.3
P004,linear_T0.3_s1,baseline,linear_T0.3,baseline
P004,linear_T0.3_s2,baseline,linear_T0.3,baseline
P004,linear_T0.3_s3,baseline,linear_T0.3,baseline
P004,linear_T0.3_s2,linear_T0.3_s1,linear_T0.3,linear_T0.3
P004,linear_T0.3_s3,linear_T0.3_s1,linear_T0.3,linear_T0.3
P004,linear_T0.3_s3,linear_T0.3_s2,linear_T0.3,linear_T0.3
P005,linear_T0.7_s1,baseline,linear_T0.7,baseline
P005,linear_T0.7_s2,baseline,linear_T0.7,baseline
P005,linear_T0.7_s3,baseline,linear_T0.7,baseline
P005,linear_T0.7_s2,linear_T0.7_s1,linear_T0.7,linear_T0.7
P005,linear_T0.7_s3,linear_T0.7_s1,linear_T0.7,linear_T0.7
P005,linear_T0.7_s2,linear_T0.7_s3,linear_T0.7,linear_T0.7
P006,linear_T0.7_s1,baseline,linear_T0.7,baseline
P006,linear_T0.7_s2,baseline,linear_T0.7,baseline
P006,baseline,linear_T0.7_s3,baseline,linear_T0.7
P006,linear_T0.7_s1,linear_T0.7_s2,linear_T0.7,linear_T0.7
P006,linear_T0.7_s1,linear_T0.7_s3,linear_T0.7,linear_T0.7
P006,linear_T0.7_s2,linear_T0.7_s3,linear_T0.7,linear_T0.7
P007,linear_T0.7_s1,baseline,linear_T0.7,baseline
P007,linear_T0.7_s2,baseline,linear_T0.7,baseline
P007,linear_T0.7_s3,baseline,linear_T0.7,baseline
P007,linear_T0.7_s2,linear_T0.7_s1,linear_T0.7,linear_T0.7
P007,linear_T0.7_s3,linear_T0.7_s1,linear_T0.7,linear_T0.7
P007,linear_T0.7_s2,linear_T0.7_s3,linear_T0.7,linear_T0.7
P008,linear_T0.9_s1,baseline,linear_T0.9,baseline
P008,linear_T0.9_s2,baseline,linear_T0.9,baseline
P008,linear_T0.9_s3,baseline,linear_T0.9,baseline
P008,linear_T0.9_s1,linear_T0.9_s2,linear_T0.9,linear_T0.9
P008,linear_T0.9_s3,linear_T0.9_s1,linear_T0.9,linear_T0.9
P008,linear_T0.9_s3,linear_T0.9_s2,linear_T0.9,linear_T0.9
P009,baseline,linear_T0.9_s1,baseline,linear_T0.9
P009,linear_T0.9_s2,baseline,linear_T0.9,baseline
P009,linear_T0.9_s3,baseline,linear_T0.9,baseline
P009,linear_T0.9_s2,linear_T0.9_s1,linear_T0.9,linear_T0.9
P009,linear_T0.9_s3,linear_T0.9_s1,linear_T0.9,linear_T0.9
P009,linear_T0.9_s3,linear_T0.9_s2,linear_T0.9,linear_T0.9
P010,baseline,linear_T0.9_s1,baseline,linear_T0.9
P010,linear_T0.9_s2,baseline,linear_T0.9,baseline
P010,linear_T0.9_s3,baseline,linear_T0.9,baseline
P010,linear_T0.9_s2,linear_T0.9_s1,linear_T0.9,linear_T0.9
P010,linear_T0.9_s3,linear_T0.9_s1,linear_T0.9,linear_T0.9
P010,linear_T0.9_s3,linear_T0.9_s2,linear_T0.9,linear_T0.9
P011,baseline,nonlinear_T0.3_s1,baseline,nonlinear_T0.3
P011,baseline,nonlinear_T0.3_s2,baseline,nonlinear_T0.3
P011,baseline,nonlinear_T0.3_s3,baseline,nonlinear_T0.3
P011,nonlinear_T0.3_s1,nonlinear_T0.3_s2,nonlinear_T0.3,nonlinear_T0.3
P011,nonlinear_T0.3_s1,nonlinear_T0.3_s3,nonlinear_T0.3,nonlinear_T0.3
P011,nonlinear_T0.3_s2,nonlinear_T0.3_s3,nonlinear_T0.3,nonlinear_T0.3
P012,baseline,nonlinear_T0.3_s1,baseline,nonlinear_T0.3
P012,baseline,nonlinear_T0.3_s2,baseline,nonlinear_T0.3
P012,baseline,nonlinear_T0.3_s3,baseline,nonlinear_T0.3
P012,nonlinear_T0.3_s2,nonlinear_T0.3_s1,nonlinear_T0.3,nonlinear_T0.3
P012,nonlinear_T0.3_s3,nonlinear_T0.3_s1,nonlinear_T0.3,nonlinear_T0.3
P012,nonlinear_T0.3_s2,nonlinear_T0.3_s3,nonlinear_T0.3,nonlinear_T0.3
P013,baseline,nonlinear_T0.3_s1,baseline,nonlinear_T0.3
P013,baseline,nonlinear_T0.3_s2,baseline,nonlinear_T0.3
P013,baseline,nonlinear_T0.3_s3,baseline,nonlinear_T0.3
P013,nonlinear_T0.3_s2,nonlinear_T0.3_s1,nonlinear_T0.3,nonlinear_T0.3
P013,nonlinear_T0.3_s3,nonlinear_T0.3_s1,nonlinear_T0.3,nonlinear_T0.3
P013,nonlinear_T0.3_s2,nonlinear_T0.3_s3,nonlinear_T0.3,nonlinear_T0.3
P014,linear_T0.7_s3,baseline,linear_T0.7,baseline
P014,nonlinear_T0.3_s2,baseline,nonlinear_T0.3,baseline
P014,nonlinear_T0.9_s1,baseline,nonlinear_T0.9,baseline
P014,linear_T0.7_s3,nonlinear_T0.3_s2,linear_T0.7,nonlinear_T0.3
P014,nonlinear_T0.9_s1,linear_T0.7_s3,nonlinear_T0.9,linear_T0.7
P014,nonlinear_T0.9_s1,nonlinear_T0.3_s2,nonlinear_T0.9,nonlinear_T0.3
P015,nonlinear_T0.7_s1,baseline,nonlinear_T0.7,baseline
P015,nonlinear_T0.7_s2,baseline,nonlinear_T0.7,baseline
P015,nonlinear_T0.7_s3,baseline,nonlinear_T0.7,baseline
P015,nonlinear_T0.7_s2,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P015,nonlinear_T0.7_s3,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P015,nonlinear_T0.7_s3,nonlinear_T0.7_s2,nonlinear_T0.7,nonlinear_T0.7
P016,nonlinear_T0.7_s1,baseline,nonlinear_T0.7,baseline
P016,nonlinear_T0.7_s2,baseline,nonlinear_T0.7,baseline
P016,nonlinear_T0.7_s3,baseline,nonlinear_T0.7,baseline
P016,nonlinear_T0.7_s2,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P016,nonlinear_T0.7_s3,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P016,nonlinear_T0.7_s3,nonlinear_T0.7_s2,nonlinear_T0.7,nonlinear_T0.7
P017,baseline,nonlinear_T0.7_s1,baseline,nonlinear_T0.7
P017,nonlinear_T0.7_s2,baseline,nonlinear_T0.7,baseline
P017,nonlinear_T0.7_s3,baseline,nonlinear_T0.7,baseline
P017,nonlinear_T0.7_s2,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P017,nonlinear_T0.7_s3,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P017,nonlinear_T0.7_s3,nonlinear_T0.7_s2,nonlinear_T0.7,nonlinear_T0.7
P018,nonlinear_T0.9_s1,baseline,nonlinear_T0.9,baseline
P018,baseline,nonlinear_T0.9_s2,baseline,nonlinear_T0.9
P018,nonlinear_T0.9_s3,baseline,nonlinear_T0.9,baseline
P018,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P018,nonlinear_T0.9_s3,nonlinear_T0.9_s1,nonlinear_T0.9,nonlinear_T0.9
P018,nonlinear_T0.9_s3,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P019,nonlinear_T0.9_s1,baseline,nonlinear_T0.9,baseline
P019,nonlinear_T0.9_s2,baseline,nonlinear_T0.9,baseline
P019,nonlinear_T0.9_s3,baseline,nonlinear_T0.9,baseline
P019,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P019,nonlinear_T0.9_s3,nonlinear_T0.9_s1,nonlinear_T0.9,nonlinear_T0.9
P019,nonlinear_T0.9_s3,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P020,nonlinear_T0.9_s1,baseline,nonlinear_T0.9,baseline
P020,nonlinear_T0.9_s2,baseline,nonlinear_T0.9,baseline
P020,nonlinear_T0.9_s3,baseline,nonlinear_T0.9,baseline
P020,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P020,nonlinear_T0.9_s1,nonlinear_T0.9_s3,nonlinear_T0.9,nonlinear_T0.9
P020,nonlinear_T0.9_s3,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
