ID,"Q1: Used AI before (Yes=1, No=0)","Q2: Ease of interface (1=Very difficult, 5=Very easy)","Q3: Helpfulness of AI suggestions (1=Not helpful, 5=Very helpful)","Q4: Sense of control (1=No control, 5=Full control)","Q5: Satisfaction with content quality (1=Very dissatisfied, 5=Very satisfied)","Q6: Human-AI collab meets expectations (1=Not at all, 5=Very well)","Q7: Willingness to continue using (1=Definitely not, 5=Definitely yes)"
1,0,4,4,5,3,3,5
2,0,4,2,5,4,4,5
3,0,5,4,3,5,4,5
5,0,5,5,4,5,5,5
7,0,5,2,5,5,3,5
8,0,5,3,4,4,5,5
9,0,4,3,5,5,5,5
10,0,5,4,5,5,4,4
4,1,4,3,3,4,5,5
6,1,3,3,5,2,2,5