folder_name,topic,style,mode,temperature,seed,model_name,sentence_count,adjacent_pairs,avg_coherence,coherence_std,max_coherence,min_coherence,median_coherence,low_coherence_points,high_coherence_segments,source_file,analysis_timestamp
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s3,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.9,3,all-mpnet-base-v2,392,391,0.3413,0.18653296630743085,0.930306077003479,-0.09714261442422867,0.3213619887828827,56,21,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s3/enhanced_story_dialogue_updated.md,2025-09-06T21:58:03.404368
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s2,Little Red Riding Hood,Science Fiction Rewrite,linear,0.9,2,all-mpnet-base-v2,458,457,0.3359,0.1698858552947246,0.863666296005249,-0.03797384351491928,0.32769671082496643,72,26,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s2/enhanced_story_dialogue_updated.md,2025-09-06T21:58:06.946507
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s2,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.9,2,all-mpnet-base-v2,413,412,0.3705,0.16516820654390113,0.8689050674438477,-0.028563428670167923,0.3551362603902817,57,18,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s2/enhanced_story_dialogue_updated.md,2025-09-06T21:58:11.799354
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s3,Little Red Riding Hood,Science Fiction Rewrite,linear,0.9,3,all-mpnet-base-v2,347,346,0.3968,0.17194520297183288,0.8660053014755249,0.009194677695631981,0.3895500600337982,57,28,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s3/enhanced_story_dialogue_updated.md,2025-09-06T21:58:17.875522
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.7,2,all-mpnet-base-v2,158,157,0.3794,0.17162210486948484,0.83234703540802,-0.028721332550048828,0.39228445291519165,27,13,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2/enhanced_story_dialogue_updated.md,2025-09-06T21:58:22.676746
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s3,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.3,3,all-mpnet-base-v2,248,247,0.3744,0.17621476502566394,0.8822891712188721,0.009147578850388527,0.37814953923225403,37,14,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s3/enhanced_story_dialogue_updated.md,2025-09-06T21:58:25.874390
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s2,Little Red Riding Hood,Science Fiction Rewrite,linear,0.3,2,all-mpnet-base-v2,324,323,0.3578,0.16561101851140356,0.819748044013977,-0.07150241732597351,0.3631850481033325,55,23,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s2/enhanced_story_dialogue_updated.md,2025-09-06T21:58:30.164467
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3,Little Red Riding Hood,Science Fiction Rewrite,linear,0.7,3,all-mpnet-base-v2,233,232,0.378,0.16879378670674197,0.8979101181030273,-0.022765139117836952,0.37183547019958496,39,15,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3/enhanced_story_dialogue_updated.md,2025-09-06T21:58:33.093003
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s2,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.3,2,all-mpnet-base-v2,391,390,0.3576,0.18136999002465382,0.9043691754341125,-0.08239257335662842,0.34954987466335297,57,24,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s2/enhanced_story_dialogue_updated.md,2025-09-06T21:58:38.706576
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s3,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.7,3,all-mpnet-base-v2,548,547,0.3714,0.1783896319023206,0.9152814745903015,-0.011834750883281231,0.35776981711387634,77,35,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s3/enhanced_story_dialogue_updated.md,2025-09-06T21:58:46.492048
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s2,Little Red Riding Hood,Science Fiction Rewrite,linear,0.7,2,all-mpnet-base-v2,570,569,0.3714,0.169498286985885,0.931361734867096,-0.04035166651010513,0.3608275055885315,90,29,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s2/enhanced_story_dialogue_updated.md,2025-09-06T21:58:53.402723
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s3,Little Red Riding Hood,Science Fiction Rewrite,linear,0.3,3,all-mpnet-base-v2,279,278,0.3349,0.18126913009558562,0.9119580984115601,-0.04821385070681572,0.31185615062713623,41,16,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s3/enhanced_story_dialogue_updated.md,2025-09-06T21:58:56.469814
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s1,Little Red Riding Hood,Science Fiction Rewrite,linear,0.9,1,all-mpnet-base-v2,191,190,0.296,0.16623217715232125,0.7845054864883423,-0.02325044386088848,0.3064873218536377,38,15,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s1/enhanced_story_dialogue_updated.md,2025-09-06T21:58:58.506451
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s1,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.9,1,all-mpnet-base-v2,833,832,0.3715,0.16994422920644184,0.8863388895988464,-0.06210007146000862,0.36344337463378906,136,49,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s1/enhanced_story_dialogue_updated.md,2025-09-06T21:59:12.086598
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s1,Little Red Riding Hood,Science Fiction Rewrite,linear,0.3,1,all-mpnet-base-v2,532,531,0.4047,0.1763858545599979,0.881350576877594,0.013850156217813492,0.38406646251678467,84,30,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s1/enhanced_story_dialogue_updated.md,2025-09-06T21:59:18.020358
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s1,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.7,1,all-mpnet-base-v2,639,638,0.3465,0.16547541598727925,0.8498116731643677,-0.06415325403213501,0.3403942286968231,114,44,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s1/enhanced_story_dialogue_updated.md,2025-09-06T21:59:25.019471
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s1,Little Red Riding Hood,Science Fiction Rewrite,linear,0.7,1,all-mpnet-base-v2,431,430,0.352,0.1844660749456016,1.0,-0.05430565029382706,0.32156601548194885,59,28,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s1/enhanced_story_dialogue_updated.md,2025-09-06T21:59:29.285174
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s1,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.3,1,all-mpnet-base-v2,452,451,0.3831,0.18153250673843338,1.0,0.0028638681396842003,0.3721640706062317,70,30,/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s1/enhanced_story_dialogue_updated.md,2025-09-06T21:59:34.113786
