folder_name,topic,style,mode,temperature,seed,total_chapters,analysis_timestamp,roberta_classification,roberta_confidence,roberta_category,labmt_classification,labmt_confidence,labmt_category,correlation_coefficient,correlation_p_value,correlation_significance,consistency_level,direction_consistency,classification_agreement,chapter_scores_roberta,chapter_scores_labmt,source_file,ch1_roberta,ch1_labmt,ch2_roberta,ch2_labmt,ch3_roberta,ch3_labmt,ch4_roberta,ch4_labmt,ch5_roberta,ch5_labmt,ch6_roberta,ch6_labmt,ch7_roberta,ch7_labmt,ch8_roberta,ch8_labmt
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s3,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.9,3,5,2025-09-06T21:47:11.765017,Cinderella,0.143,CN,Rags to riches,0.6971,RR,0.3229,0.5961,Not Significant,Low,0.75,False,"[-0.4442, -0.1797, -0.6485, -0.0734, -0.4314]","[0.1151, 0.1733, 0.1115, 0.1274, 0.1808]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s3/enhanced_story_dialogue_updated.md,-0.4442,0.1151,-0.1797,0.1733,-0.6485,0.1115,-0.0734,0.1274,-0.4314,0.1808,,,,,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s2,Little Red Riding Hood,Science Fiction Rewrite,linear,0.9,2,8,2025-09-06T21:47:19.671998,Icarus,0.5756,IC,Tragedy,0.7369,TR,0.7187,0.0446,Significant,High,0.8571,False,"[0.3765, -0.2149, -0.1189, -0.0699, -0.4453, -0.01, -0.6321, -0.4672]","[0.2165, 0.1997, 0.1395, 0.188, 0.1809, 0.2343, 0.1243, 0.1324]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s2/enhanced_story_dialogue_updated.md,0.3765,0.2165,-0.2149,0.1997,-0.1189,0.1395,-0.0699,0.188,-0.4453,0.1809,-0.01,0.2343,-0.6321,0.1243,-0.4672,0.1324
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s2,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.9,2,7,2025-09-06T21:47:28.983497,Oedipus,0.5824,OE,Rags to riches,0.6715,RR,0.5415,0.2093,Not Significant,Medium,0.8333,False,"[0.5761, 0.0494, -0.4533, 0.0542, -0.0549, -0.0545, 0.0967]","[0.1542, 0.1288, 0.0445, 0.2127, 0.1913, 0.1046, 0.1626]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s2/enhanced_story_dialogue_updated.md,0.5761,0.1542,0.0494,0.1288,-0.4533,0.0445,0.0542,0.2127,-0.0549,0.1913,-0.0545,0.1046,0.0967,0.1626,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s3,Little Red Riding Hood,Science Fiction Rewrite,linear,0.9,3,7,2025-09-06T21:47:32.846579,Man in a hole,0.8434,MH,Rags to riches,0.688,RR,0.5423,0.2086,Not Significant,Medium,1.0,False,"[-0.2121, -0.4059, 0.0576, -0.1486, 0.0686, 0.1548, 0.3009]","[0.1938, 0.0598, 0.0987, 0.0214, 0.1286, 0.151, 0.2017]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s3/enhanced_story_dialogue_updated.md,-0.2121,0.1938,-0.4059,0.0598,0.0576,0.0987,-0.1486,0.0214,0.0686,0.1286,0.1548,0.151,0.3009,0.2017,,
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.7,2,6,2025-09-06T21:47:38.795065,Cinderella,0.6936,CN,Tragedy,0.7174,TR,0.0074,0.9889,Not Significant,Low,0.4,False,"[-0.3353, 0.0788, 0.3234, -0.0448, 0.2086, -0.3157]","[0.1912, 0.1615, 0.2757, 0.1588, 0.0567, 0.1782]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2/enhanced_story_dialogue_updated.md,-0.3353,0.1912,0.0788,0.1615,0.3234,0.2757,-0.0448,0.1588,0.2086,0.0567,-0.3157,0.1782,,,,
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s3,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.3,3,5,2025-09-06T21:47:41.800065,Man in a hole,0.3914,MH,Tragedy,0.6821,TR,0.48,0.4132,Not Significant,Low,1.0,False,"[-0.3144, -0.2778, -0.0514, -0.403, 0.1906]","[0.0986, 0.1151, 0.1679, 0.006, 0.0956]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s3/enhanced_story_dialogue_updated.md,-0.3144,0.0986,-0.2778,0.1151,-0.0514,0.1679,-0.403,0.006,0.1906,0.0956,,,,,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s2,Little Red Riding Hood,Science Fiction Rewrite,linear,0.3,2,7,2025-09-06T21:47:45.093307,Oedipus,0.5142,OE,Rags to riches,0.7175,RR,0.3326,0.4661,Not Significant,Low,0.3333,False,"[-0.0392, 0.2136, -0.651, 0.0259, -0.0853, -0.2128, 0.8263]","[0.1875, 0.1042, 0.1212, 0.1757, 0.1259, 0.1946, 0.1915]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s2/enhanced_story_dialogue_updated.md,-0.0392,0.1875,0.2136,0.1042,-0.651,0.1212,0.0259,0.1757,-0.0853,0.1259,-0.2128,0.1946,0.8263,0.1915,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3,Little Red Riding Hood,Science Fiction Rewrite,linear,0.7,3,5,2025-09-06T21:47:49.234767,Oedipus,0.221,OE,Rags to riches,0.7181,RR,-0.5888,0.2962,Not Significant,Medium,0.0,False,"[0.1843, -0.3997, -0.0528, 0.0495, -0.0646]","[0.138, 0.1935, 0.1621, 0.1501, 0.227]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3/enhanced_story_dialogue_updated.md,0.1843,0.138,-0.3997,0.1935,-0.0528,0.1621,0.0495,0.1501,-0.0646,0.227,,,,,,
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s2,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.3,2,7,2025-09-06T21:47:52.946494,Cinderella,0.2095,CN,Rags to riches,0.6727,RR,0.3471,0.4456,Not Significant,Low,0.8333,False,"[-0.4224, -0.5648, 0.3186, -0.4386, -0.3508, -0.453, 0.033]","[0.1062, 0.2206, 0.2598, 0.1725, 0.3067, 0.1448, 0.1874]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s2/enhanced_story_dialogue_updated.md,-0.4224,0.1062,-0.5648,0.2206,0.3186,0.2598,-0.4386,0.1725,-0.3508,0.3067,-0.453,0.1448,0.033,0.1874,,
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s3,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.7,3,7,2025-09-06T21:47:56.211490,Icarus,0.1324,IC,Rags to riches,0.6198,RR,0.2952,0.5204,Not Significant,Low,0.5,False,"[0.0806, -0.4928, -0.1615, -0.8067, -0.1781, -0.219, -0.4379]","[0.1645, 0.0443, 0.1682, 0.1685, 0.1274, 0.2387, 0.0589]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s3/enhanced_story_dialogue_updated.md,0.0806,0.1645,-0.4928,0.0443,-0.1615,0.1682,-0.8067,0.1685,-0.1781,0.1274,-0.219,0.2387,-0.4379,0.0589,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s2,Little Red Riding Hood,Science Fiction Rewrite,linear,0.7,2,7,2025-09-06T21:47:59.526659,Oedipus,0.5405,OE,Tragedy,0.7272,TR,0.7048,0.077,Not Significant,High,0.8333,False,"[0.6871, -0.2646, -0.0608, -0.3178, 0.153, 0.1602, -0.0048]","[0.272, 0.2154, 0.2039, 0.1179, 0.1681, 0.2452, 0.1649]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s2/enhanced_story_dialogue_updated.md,0.6871,0.272,-0.2646,0.2154,-0.0608,0.2039,-0.3178,0.1179,0.153,0.1681,0.1602,0.2452,-0.0048,0.1649,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s3,Little Red Riding Hood,Science Fiction Rewrite,linear,0.3,3,7,2025-09-06T21:48:04.058496,Icarus,0.514,IC,Rags to riches,0.6149,RR,-0.1349,0.7731,Not Significant,Low,0.6667,False,"[0.2414, -0.1995, -0.0325, -0.449, -0.1952, -0.1837, -0.5058]","[0.1144, 0.0251, 0.1929, 0.1522, 0.2546, -0.0143, 0.1815]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s3/enhanced_story_dialogue_updated.md,0.2414,0.1144,-0.1995,0.0251,-0.0325,0.1929,-0.449,0.1522,-0.1952,0.2546,-0.1837,-0.0143,-0.5058,0.1815,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s1,Little Red Riding Hood,Science Fiction Rewrite,linear,0.9,1,5,2025-09-06T21:48:07.286475,Icarus,0.2877,IC,Rags to riches,0.624,RR,-0.3127,0.6085,Not Significant,Low,0.25,False,"[0.0674, -0.0322, -0.5537, 0.2119, -0.4903]","[0.2405, 0.0738, 0.1498, 0.1148, 0.2407]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s1/enhanced_story_dialogue_updated.md,0.0674,0.2405,-0.0322,0.0738,-0.5537,0.1498,0.2119,0.1148,-0.4903,0.2407,,,,,,
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s1,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.9,1,6,2025-09-06T21:48:57.170396,Icarus,0.4054,IC,Rags to riches,0.6553,RR,-0.1829,0.7287,Not Significant,Low,0.8,False,"[0.3314, -0.3196, 0.0719, -0.3265, 0.1671, -0.5556]","[0.2373, 0.1939, 0.2028, 0.1691, 0.1698, 0.2635]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s1/enhanced_story_dialogue_updated.md,0.3314,0.2373,-0.3196,0.1939,0.0719,0.2028,-0.3265,0.1691,0.1671,0.1698,-0.5556,0.2635,,,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s1,Little Red Riding Hood,Science Fiction Rewrite,linear,0.3,1,6,2025-09-06T21:49:00.407212,Oedipus,0.2018,OE,Rags to riches,0.8207,RR,0.0088,0.9868,Not Significant,Low,0.4,False,"[0.0408, -0.2877, -0.8075, -0.0726, 0.1448, -0.3531]","[0.1147, 0.0778, 0.0943, 0.2326, 0.0999, 0.3074]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s1/enhanced_story_dialogue_updated.md,0.0408,0.1147,-0.2877,0.0778,-0.8075,0.0943,-0.0726,0.2326,0.1448,0.0999,-0.3531,0.3074,,,,
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s1,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.7,1,7,2025-09-06T21:49:03.987963,Man in a hole,0.326,MH,Tragedy,0.7078,TR,-0.6239,0.1343,Not Significant,Medium,0.1667,False,"[-0.5812, -0.4548, 0.0397, -0.3227, -0.5657, -0.2516, 0.2243]","[0.2101, 0.2046, 0.1596, 0.1631, 0.1863, 0.1682, 0.1771]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s1/enhanced_story_dialogue_updated.md,-0.5812,0.2101,-0.4548,0.2046,0.0397,0.1596,-0.3227,0.1631,-0.5657,0.1863,-0.2516,0.1682,0.2243,0.1771,,
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s1,Little Red Riding Hood,Science Fiction Rewrite,linear,0.7,1,8,2025-09-06T21:49:07.647088,Man in a hole,0.1886,MH,Tragedy,0.6884,TR,0.3124,0.4513,Not Significant,Low,0.7143,False,"[0.0795, 0.027, -0.2051, -0.4138, 0.4491, 0.0605, -0.1415, 0.1472]","[0.1543, 0.1997, 0.1478, 0.0998, 0.1351, 0.0777, 0.108, 0.2018]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s1/enhanced_story_dialogue_updated.md,0.0795,0.1543,0.027,0.1997,-0.2051,0.1478,-0.4138,0.0998,0.4491,0.1351,0.0605,0.0777,-0.1415,0.108,0.1472,0.2018
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s1,Little Red Riding Hood,Science Fiction Rewrite,nonlinear,0.3,1,7,2025-09-06T21:49:11.411850,Oedipus,0.6907,OE,Rags to riches,0.7634,RR,0.8883,0.0075,Significant,High,0.6667,False,"[0.0532, -0.236, -0.048, -0.4394, -0.5076, 0.0656, 0.7067]","[0.1257, 0.1595, 0.1934, 0.0905, 0.1068, 0.2045, 0.2707]",/Users/haha/Story/data/output/regression_test/thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s1/enhanced_story_dialogue_updated.md,0.0532,0.1257,-0.236,0.1595,-0.048,0.1934,-0.4394,0.0905,-0.5076,0.1068,0.0656,0.2045,0.7067,0.2707,,
